Sell,List,Living,Rooms,Beds,Baths,Age,Acres,Taxes
212,230,39,12,5,3,202,4.29,3648
111,120,15,8,3,1,97,1.11,3205
127,130,20,8,4,1,65,0.4,3334
142,160,28,10,5,3,60,0.28,3167
185,193,20,9,3,2,56,6.49,3765
87,90,16,7,3,1,50,0.65,1445
167,170,20,9,4,2,46,0.46,3482
145,145,18,8,4,2,44,0.22,2783
123,130,18,8,4,2,43,0.39,3268
89,90,10,5,3,1,43,0.3,2054
133,145,26,7,3,1,42,0.36,3059
129,132,13,6,3,1,41,0.33,1471
190,193,22,9,5,2,37,0.48,3920
166,170,23,9,4,2,37,0.27,3498
135,145,18,7,4,1,35,0.43,3363
170,190,24,10,3,2,33,0.57,3346
152,155,17,8,4,1,33,0.7,3361
165,170,17,8,4,2,33,0.46,2220
146,150,16,7,3,1,31,0.36,2950
110,115,16,8,4,1,26,0.29,3103
152,159,15,7,3,1,25,0.59,3055
128,135,17,9,4,1,25,0.52,3374
151,153,19,8,4,2,24,0.34,3561
138,140,17,7,3,1,22,0.46,3204
136,140,19,7,3,1,22,0.63,3607
148,153,13,6,3,2,22,0.39,3950
150,160,20,8,4,3,18,4.0,3131
183,188,17,7,3,2,16,3.0,3564
175,180,22,8,4,2,15,2.06,3917
129,135,10,6,3,1,15,1.0,2438
148,160,17,7,3,2,13,0.36,3648
106,116,20,8,4,1,13,0.22,2818
157,163,18,8,4,2,12,1.13,3982
180,185,20,8,4,2,11,1.0,3831
110,120,15,8,4,2,11,0.59,3119
143,145,21,7,4,2,10,1.2,3529
135,140,18,7,4,3,9,0.57,3028
157,165,20,8,4,2,7,0.3,3785
232,240,25,8,4,3,5,2.05,3613
234,238,25,8,4,2,2,1.61,2087
